type,name,bloat,waste
index,public.ingestion_runs::ingestion_runs_job_started_idx,0.2,0 bytes
index,public.launch_trajectory_constraints::launch_trajectory_constraints_launch_id_source_constraint_t_key,0.2,0 bytes
index,public.ll2_locations::ll2_locations_pkey,0.2,0 bytes
index,public.ll2_spacecraft_configurations::ll2_spacecraft_config_agency_idx,0.2,0 bytes
index,public.ll2_spacecraft_configurations::ll2_spacecraft_config_name_idx,0.2,0 bytes
index,public.ll2_spacecraft_configurations::ll2_spacecraft_configurations_pkey,0.2,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_launch_id_idx,0.2,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_launch_idx,0.2,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_mission_time_idx,0.1,0 bytes
index,public.ll2_pads::ll2_pads_ll2_location_id_idx,0.1,0 bytes
index,public.ll2_spacecraft_flight_docking_events::ll2_spacecraft_flight_docking_events_docking_idx,0.1,0 bytes
index,public.ll2_spacecraft_flight_docking_events::ll2_spacecraft_flight_docking_events_pkey,0.1,0 bytes
index,public.artemis_budget_lines::artemis_budget_lines_pkey,0.1,0 bytes
index,public.artemis_budget_lines::artemis_budget_lines_fiscal_year_idx,0.1,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_ll2_landing_id_idx,0.1,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_pkey,0.1,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_spacecraft_idx,0.1,0 bytes
index,public.ll2_catalog_public_cache::ll2_catalog_public_cache_pkey,0.1,0 bytes
index,public.ll2_catalog_public_cache::ll2_catalog_public_cache_name_idx,0.1,0 bytes
index,public.ll2_spacecrafts::ll2_spacecrafts_name_idx,0.1,0 bytes
index,public.ll2_spacecrafts::ll2_spacecrafts_pkey,0.1,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_message_id_area_name_key,0.1,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_valid_window_gist,0.1,0 bytes
index,public.navcen_bnm_messages::navcen_bnm_messages_navcen_guid_sha256_key,0.1,0 bytes
index,public.ll2_astronauts::ll2_astronauts_pkey,0.1,0 bytes
index,public.ll2_astronauts::ll2_astronauts_name_idx,0.1,0 bytes
index,public.ll2_agencies::ll2_agencies_pkey,0.1,0 bytes
index,public.launches_public_cache::launches_public_cache_vehicle_trgm_idx,0.1,0 bytes
index,public.launches_public_cache::launches_public_cache_rocket_full_name_trgm_idx,0.1,0 bytes
index,public.orbit_elements::orbit_elements_norad_cat_id_source_epoch_key,0.1,0 bytes
index,public.orbit_elements::orbit_elements_norad_epoch_idx,0.1,0 bytes
index,public.orbit_elements::orbit_elements_source_epoch_idx,0.1,0 bytes
index,public.launches_public_cache::launches_public_cache_pad_country_net_provider_idx,0.1,0 bytes
index,public.satellites::satellites_intl_des_pattern_idx,0.1,0 bytes
index,public.satellites::satellites_pkey,0.1,0 bytes
index,public.snapi_items::snapi_items_pkey,0.1,0 bytes
index,public.snapi_items::snapi_items_published_at_idx,0.1,0 bytes
index,public.snapi_items::snapi_items_snapi_id_item_type_key,0.1,0 bytes
index,public.snapi_items::snapi_items_updated_at_idx,0.1,0 bytes
index,public.social_posts::social_posts_launch_update_idx,0.1,0 bytes
index,public.social_posts::social_posts_reply_parent_idx,0.1,0 bytes
index,public.social_posts::social_posts_status_idx,0.1,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_launch_generated_idx,0.1,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_pkey,0.1,0 bytes
index,public.trajectory_source_contracts::trajectory_source_contracts_launch_eval_idx,0.1,0 bytes
index,public.trajectory_source_documents::trajectory_source_documents_fetched_at_idx,0.1,0 bytes
index,public.trajectory_source_documents::trajectory_source_documents_pkey,0.1,0 bytes
index,public.launch_updates::launch_updates_launch_id_detected_at_idx,0.1,0 bytes
index,public.launch_social_candidates::launch_social_candidates_pkey,0.1,0 bytes
index,public.launch_social_candidates::launch_social_candidates_launch_platform_fetched_idx,0.1,0 bytes
index,public.launch_social_candidates::launch_social_candidates_external_post_idx,0.1,0 bytes
index,public.ingestion_runs::ingestion_runs_started_at_idx,0.1,0 bytes
index,public.ingestion_runs::ingestion_runs_pkey,0.1,0 bytes
index,public.ingestion_runs::ingestion_runs_job_success_ended_idx,0.1,0 bytes
index,public.faa_tfr_shapes::faa_tfr_shapes_record_source_uniq,0.1,0 bytes
index,public.faa_tfr_shapes::faa_tfr_shapes_bbox_idx,0.1,0 bytes
index,public.faa_tfr_records::faa_tfr_records_status_idx,0.1,0 bytes
index,public.faa_tfr_records::faa_tfr_records_pkey,0.1,0 bytes
index,public.faa_tfr_records::faa_tfr_records_notam_id_idx,0.1,0 bytes
index,public.faa_tfr_records::faa_tfr_records_mod_at_idx,0.1,0 bytes
index,public.faa_notam_details::faa_notam_details_pkey,0.1,0 bytes
index,public.faa_notam_details::faa_notam_details_notam_id_idx,0.1,0 bytes
index,public.faa_notam_details::faa_notam_details_faa_tfr_record_id_idx,0.1,0 bytes
index,public.faa_launch_matches::faa_launch_matches_record_null_launch_origin_uidx,0.1,0 bytes
index,public.faa_launch_matches::faa_launch_matches_record_launch_origin_uidx,0.1,0 bytes
index,public.faa_launch_matches::faa_launch_matches_record_idx,0.1,0 bytes
index,public.faa_launch_matches::faa_launch_matches_pkey,0.1,0 bytes
index,public.blue_origin_travelers::blue_origin_travelers_updated_at_idx,0.1,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_updated_at_idx,0.1,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_slug_idx,0.1,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_pkey,0.1,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_flight_code_idx,0.1,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_source_document_id_idx,0.1,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_pkey,0.1,0 bytes
index,public.artemis_content_items::artemis_content_items_mission_kind_idx,0.1,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_announced_time_idx,0.1,0 bytes
index,public.blue_origin_source_documents::blue_origin_source_documents_pkey,0.1,0 bytes
index,public.blue_origin_source_documents::blue_origin_source_documents_fetched_at_idx,0.1,0 bytes
index,public.blue_origin_contracts::blue_origin_contracts_updated_idx,0.1,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_usaspending_award_id_mission_key_key,0.1,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_program_scope_awarded_idx,0.1,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_pkey,0.1,0 bytes
index,public.artemis_opportunity_notices::artemis_opportunity_notices_notice_id_key,0.1,0 bytes
index,public.artemis_contracts::artemis_contracts_source_document_idx,0.1,0 bytes
index,public.artemis_contracts::artemis_contracts_pkey,0.1,0 bytes
index,public.artemis_contracts::artemis_contracts_piid_ref_idx,0.1,0 bytes
index,public.artemis_contracts::artemis_contracts_piid_idx,0.1,0 bytes
index,public.artemis_contracts::artemis_contracts_contract_key_key,0.1,0 bytes
index,public.artemis_contract_actions::artemis_contract_actions_action_key_key,0.1,0 bytes
index,public.artemis_content_items::artemis_content_items_source_idx,0.1,0 bytes
index,public.artemis_content_items::artemis_content_items_pkey,0.1,0 bytes
index,public.ll2_landings::ll2_landings_pkey,0.1,0 bytes
index,public.ll2_expeditions::ll2_expeditions_station_idx,0.1,0 bytes
index,public.ll2_expeditions::ll2_expeditions_pkey,0.1,0 bytes
index,public.ll2_launchers::ll2_launchers_config_idx,0.1,0 bytes
index,public.ll2_launchers::ll2_launchers_pkey,0.1,0 bytes
index,public.ll2_launchers::ll2_launchers_serial_idx,0.1,0 bytes
index,public.ll2_docking_events::ll2_docking_events_pkey,0.1,0 bytes
index,public.artemis_content_items::artemis_content_items_kind_pub_idx,0.1,0 bytes
index,public.artemis_budget_lines::artemis_budget_lines_source_document_id_idx,0.1,0 bytes
index,public.artemis_budget_lines::artemis_budget_lines_program_idx,0.1,0 bytes
index,public.ll2_events::ll2_events_pkey,0.0,0 bytes
index,public.ll2_events::ll2_events_last_updated_idx,0.0,0 bytes
index,public.ll2_events::ll2_events_date_idx,0.0,0 bytes
index,public.ll2_docking_events::ll2_docking_events_station_idx,0.0,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_scope_awarded_updated_idx,0.0,0 bytes
index,public.ll2_docking_events::ll2_docking_events_launch_idx,0.0,0 bytes
index,public.ll2_catalog_public_cache::ll2_catalog_public_cache_type_idx,0.0,0 bytes
index,public.trajectory_source_contracts::trajectory_source_contracts_ingestion_run_id_idx,0.0,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_source_type_idx,0.0,0 bytes
index,public.trajectory_source_contracts::trajectory_source_contracts_pkey,0.0,0 bytes
index,public.trajectory_source_contracts::trajectory_source_contracts_status_idx,0.0,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_source_document_id_idx,0.0,0 bytes
index,public.artemis_contract_actions::artemis_contract_actions_contract_idx,0.0,0 bytes
index,public.trajectory_source_documents::trajectory_source_documents_url_idx,0.0,0 bytes
index,public.artemis_contracts::artemis_contracts_mission_idx,0.0,0 bytes
index,public.launch_updates::launch_updates_detected_idx,0.0,0 bytes
index,public.launch_trajectory_constraints::launch_trajectory_constraints_run_idx,0.0,0 bytes
index,public.launch_trajectory_constraints::launch_trajectory_constraints_pkey,0.0,0 bytes
index,public.launch_trajectory_constraints::launch_trajectory_constraints_launch_idx,0.0,0 bytes
index,public.ll2_spacecrafts::ll2_spacecrafts_config_idx,0.0,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_awarded_on_idx,0.0,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_source_type_idx,0.0,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_fetched_at_idx,0.0,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_matched_launch_id_idx,0.0,0 bytes
index,public.artemis_opportunity_notices::artemis_opportunity_notices_source_document_idx,0.0,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_message_id_idx,0.0,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_navcen_guid_idx,0.0,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_pkey,0.0,0 bytes
index,public.artemis_opportunity_notices::artemis_opportunity_notices_solicitation_idx,0.0,0 bytes
index,public.navcen_bnm_messages::navcen_bnm_messages_fetched_at_idx,0.0,0 bytes
index,public.navcen_bnm_messages::navcen_bnm_messages_navcen_guid_idx,0.0,0 bytes
index,public.artemis_opportunity_notices::artemis_opportunity_notices_ptype_idx,0.0,0 bytes
index,public.navcen_bnm_messages::navcen_bnm_messages_pkey,0.0,0 bytes
index,public.navcen_bnm_messages::navcen_bnm_messages_valid_window_gist,0.0,0 bytes
index,public.ll2_catalog_public_cache::ll2_catalog_public_cache_country_codes_gin,0.0,0 bytes
index,public.artemis_opportunity_notices::artemis_opportunity_notices_pkey,0.0,0 bytes
index,public.blue_origin_source_documents::blue_origin_source_documents_url_sha256_key,0.0,0 bytes
index,public.ll2_astronauts::ll2_astronauts_agency_idx,0.0,0 bytes
index,public.faa_tfr_shapes::faa_tfr_shapes_record_idx,0.0,0 bytes
index,public.faa_tfr_shapes::faa_tfr_shapes_pkey,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_vehicle_idx,0.0,0 bytes
index,public.blue_origin_source_documents::blue_origin_source_documents_source_type_idx,0.0,0 bytes
index,public.blue_origin_source_documents::blue_origin_source_documents_source_key_idx,0.0,0 bytes
index,public.artemis_content_items::artemis_content_items_source_key_idx,0.0,0 bytes
index,public.orbit_elements::orbit_elements_pkey,0.0,0 bytes
index,public.artemis_contract_actions::artemis_contract_actions_source_document_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_rocket_full_name_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_provider_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_pkey,0.0,0 bytes
index,public.artemis_contract_actions::artemis_contract_actions_solicitation_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_net_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_ll2_rocket_config_id_idx,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_url_sha256_key,0.0,0 bytes
index,public.satellites::satellites_object_type_owner_idx,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_source_type_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_ll2_pad_id_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_ll2_launch_uuid_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_ll2_agency_id_idx,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_source_key_idx,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_pkey,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_fetched_at_idx,0.0,0 bytes
index,public.artemis_contract_actions::artemis_contract_actions_pkey,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_filter_status_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_filter_provider_idx,0.0,0 bytes
index,public.launches::launches_updated_at_idx,0.0,0 bytes
index,public.launches::launches_provider_idx,0.0,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_source_document_id_idx,0.0,0 bytes
index,public.launches::launches_pkey,0.0,0 bytes
index,public.launches::launches_pad_short_code_idx,0.0,0 bytes
index,public.launches::launches_pad_idx,0.0,0 bytes
index,public.launches::launches_net_idx,0.0,0 bytes
index,public.faa_launch_matches::faa_launch_matches_launch_idx,0.0,0 bytes
index,public.faa_launch_matches::faa_launch_matches_faa_tfr_shape_id_idx,0.0,0 bytes
index,public.launches::launches_ll2_rocket_config_id_idx,0.0,0 bytes
index,public.launches::launches_ll2_launch_uuid_key,0.0,0 bytes
index,public.launches::launches_ll2_agency_id_idx,0.0,0 bytes
index,public.launches::launches_launch_designator_idx,0.0,0 bytes
index,public.launches::launches_last_updated_idx,0.0,0 bytes
index,public.launches::launches_filter_status_idx,0.0,0 bytes
index,public.launches::launches_filter_provider_idx,0.0,0 bytes
index,public.launches::launches_filter_pad_state_idx,0.0,0 bytes
index,public.launch_updates::launch_updates_pkey,0.0,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_constraint_idx,0.0,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_doc_idx,0.0,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_ingestion_run_id_idx,0.0,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_source_doc_updated_idx,0.0,0 bytes
index,public.launch_updates::launch_updates_launch_id_idx,0.0,0 bytes
