name,index,index_size,index_scans
public.orbit_elements,orbit_elements_norad_epoch_idx,52 MB,0
public.ingestion_runs,ingestion_runs_job_success_ended_idx,13 MB,0
public.ingestion_runs,ingestion_runs_started_at_idx,8768 kB,0
public.satellites,satellites_intl_des_pattern_idx,3528 kB,0
public.satellite_group_memberships,satellite_group_memberships_group_last_seen_idx,2184 kB,0
public.satellite_group_memberships,satellite_group_memberships_norad_idx,1208 kB,0
public.trajectory_source_contracts,trajectory_source_contracts_launch_eval_idx,1208 kB,0
public.launches_public_cache,launches_public_cache_rocket_full_name_trgm_idx,968 kB,0
public.launches_public_cache,launches_public_cache_vehicle_trgm_idx,968 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_launch_generated_idx,856 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_valid_window_gist,656 kB,0
public.launches_public_cache,launches_public_cache_ll2_launch_uuid_idx,536 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_fetched_at_idx,512 kB,0
public.trajectory_source_documents,trajectory_source_documents_fetched_at_idx,448 kB,0
public.launches,launches_launch_designator_idx,408 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_message_id_idx,400 kB,0
public.navcen_bnm_messages,navcen_bnm_messages_valid_window_gist,360 kB,0
public.trajectory_source_contracts,trajectory_source_contracts_ingestion_run_id_idx,304 kB,0
public.ll2_catalog_public_cache,ll2_catalog_public_cache_name_idx,288 kB,0
public.launches,launches_last_updated_idx,288 kB,0
public.artemis_contract_budget_map,artemis_contract_budget_map_budget_line_idx,264 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_ingestion_run_id_idx,232 kB,0
public.launches_public_cache,launches_public_cache_ll2_agency_id_idx,232 kB,0
public.artemis_opportunity_notices,artemis_opportunity_notices_solicitation_idx,208 kB,0
public.trajectory_source_contracts,trajectory_source_contracts_status_idx,200 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_constraint_idx,168 kB,0
public.launches,launches_provider_idx,168 kB,0
public.blue_origin_source_documents,blue_origin_source_documents_fetched_at_idx,160 kB,0
public.launches,launches_pad_idx,160 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_doc_idx,144 kB,0
public.launch_updates,launch_updates_launch_id_detected_at_idx,144 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_matched_launch_id_idx,136 kB,0
public.celestrak_intdes_datasets,celestrak_intdes_datasets_due_idx,136 kB,0
public.launches,launches_pad_short_code_idx,136 kB,0
public.launches_public_cache,launches_public_cache_provider_idx,128 kB,0
public.celestrak_intdes_datasets,celestrak_intdes_datasets_success_idx,128 kB,0
public.artemis_source_documents,artemis_source_documents_fetched_at_idx,120 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_navcen_guid_idx,120 kB,0
public.artemis_contracts,artemis_contracts_piid_idx,112 kB,0
public.artemis_content_items,artemis_content_items_source_idx,104 kB,0
public.navcen_bnm_messages,navcen_bnm_messages_navcen_guid_idx,96 kB,0
public.launches,launches_ll2_rocket_config_id_idx,88 kB,0
public.ll2_astronauts,ll2_astronauts_name_idx,88 kB,0
public.launches,launches_ll2_agency_id_idx,80 kB,0
public.launch_updates,launch_updates_launch_id_idx,80 kB,0
public.launches,launches_filter_provider_idx,80 kB,0
public.launches_public_cache,launches_public_cache_filter_provider_idx,80 kB,0
public.launches,launches_filter_status_idx,72 kB,0
public.launches_public_cache,launches_public_cache_filter_status_idx,72 kB,0
public.ll2_events,ll2_events_date_idx,72 kB,0
public.artemis_opportunity_notices,artemis_opportunity_notices_ptype_idx,72 kB,0
public.blue_origin_source_documents,blue_origin_source_documents_source_key_idx,72 kB,0
public.blue_origin_timeline_events,blue_origin_timeline_events_mission_time_idx,64 kB,0
public.artemis_contract_actions,artemis_contract_actions_source_document_idx,64 kB,0
public.artemis_contracts,artemis_contracts_source_document_idx,64 kB,0
public.ll2_events,ll2_events_last_updated_idx,64 kB,0
public.launch_updates,launch_updates_detected_idx,64 kB,0
public.blue_origin_source_documents,blue_origin_source_documents_source_type_idx,64 kB,0
public.ll2_launcher_launches,ll2_launcher_launches_launch_idx,56 kB,0
public.faa_tfr_records,faa_tfr_records_valid_window_gist,56 kB,0
public.artemis_procurement_awards,artemis_procurement_awards_awarded_on_idx,56 kB,0
public.artemis_opportunity_notices,artemis_opportunity_notices_source_document_idx,56 kB,0
public.artemis_procurement_awards,artemis_procurement_awards_source_doc_updated_idx,56 kB,0
public.ll2_launcher_launches,ll2_launcher_launches_ll2_idx,56 kB,0
public.artemis_source_documents,artemis_source_documents_source_type_idx,56 kB,0
public.launch_trajectory_constraints,launch_trajectory_constraints_run_idx,56 kB,0
public.ll2_spacecraft_flights,ll2_spacecraft_flights_launch_id_idx,56 kB,0
public.blue_origin_timeline_events,blue_origin_timeline_events_source_document_id_idx,48 kB,0
public.artemis_contract_actions,artemis_contract_actions_solicitation_idx,48 kB,0
public.blue_origin_passengers,blue_origin_passengers_traveler_slug_idx,48 kB,0
public.artemis_source_documents,artemis_source_documents_source_key_idx,48 kB,0
public.artemis_contracts,artemis_contracts_mission_idx,48 kB,0
public.blue_origin_spending_timeseries,blue_origin_spending_contract_idx,40 kB,0
public.blue_origin_traveler_sources,blue_origin_traveler_sources_flight_code_idx,40 kB,0
public.blue_origin_traveler_sources,blue_origin_traveler_sources_updated_at_idx,40 kB,0
public.artemis_procurement_awards,artemis_procurement_awards_source_document_id_idx,40 kB,0
public.launches,launches_filter_pad_state_idx,40 kB,0
public.ll2_astronauts,ll2_astronauts_agency_idx,40 kB,0
public.ll2_launchers,ll2_launchers_serial_idx,40 kB,0
public.ll2_spacecrafts,ll2_spacecrafts_name_idx,40 kB,0
public.faa_tfr_records,faa_tfr_records_notam_id_idx,40 kB,0
public.faa_tfr_records,faa_tfr_records_mod_at_idx,40 kB,0
public.faa_tfr_shapes,faa_tfr_shapes_bbox_idx,40 kB,0
public.blue_origin_passengers,blue_origin_passengers_mission_date_idx,40 kB,0
public.blue_origin_timeline_events,blue_origin_timeline_events_announced_time_idx,40 kB,0
public.blue_origin_contracts,blue_origin_contracts_mission_idx,40 kB,0
public.blue_origin_contracts,blue_origin_contracts_source_document_id_idx,40 kB,0
public.blue_origin_contract_actions,blue_origin_contract_actions_contract_idx,40 kB,0
public.blue_origin_contract_actions,blue_origin_contract_actions_source_document_id_idx,40 kB,0
public.blue_origin_traveler_sources,blue_origin_traveler_sources_source_type_idx,32 kB,0
public.blue_origin_passengers,blue_origin_passengers_source_document_id_idx,32 kB,0
public.launch_social_candidates,launch_social_candidates_external_post_idx,32 kB,0
public.ll2_payloads,ll2_payloads_operator_idx,16 kB,0
public.artemis_budget_lines,artemis_budget_lines_fiscal_year_idx,16 kB,0
public.artemis_budget_lines,artemis_budget_lines_program_idx,16 kB,0
public.artemis_budget_lines,artemis_budget_lines_source_document_id_idx,16 kB,0
public.artemis_timeline_events,artemis_timeline_events_source_type_idx,16 kB,0
public.artemis_timeline_events,artemis_timeline_events_supersedes_idx,16 kB,0
public.artemis_timeline_events,artemis_timeline_events_source_document_id_idx,16 kB,0
public.launch_weather,launch_weather_issued_at_idx,16 kB,0
public.ll2_payloads,ll2_payloads_type_idx,16 kB,0
public.ll2_payloads,ll2_payloads_manufacturer_idx,16 kB,0
public.artemis_sam_contract_award_rows,artemis_sam_contract_award_rows_solicitation_idx,16 kB,0
public.launch_weather,launch_weather_valid_start_idx,16 kB,0
public.ll2_payloads,ll2_payloads_name_idx,16 kB,0
public.launch_weather,launch_weather_launch_id_idx,16 kB,0
public.ops_alerts,ops_alerts_resolved_idx,16 kB,0
public.launches_public_cache,launches_public_cache_rocket_family_trgm_idx,16 kB,0
public.orbit_elements,orbit_elements_supgp_group_or_source_trgm_idx,16 kB,0
public.blue_origin_contracts,blue_origin_contracts_updated_idx,16 kB,0
public.blue_origin_timeline_events,blue_origin_timeline_events_source_type_idx,16 kB,0
public.faa_tfr_shapes,faa_tfr_shapes_record_idx,16 kB,0
public.artemis_sam_contract_award_rows,artemis_sam_contract_award_rows_scope_idx,16 kB,0
public.faa_notam_details,faa_notam_details_faa_tfr_record_id_idx,16 kB,0
public.faa_launch_matches,faa_launch_matches_faa_tfr_shape_id_idx,16 kB,0
public.artemis_content_items,artemis_content_items_source_key_idx,16 kB,0
public.system_settings,system_settings_updated_by_idx,16 kB,0
public.blue_origin_traveler_sources,blue_origin_traveler_sources_source_document_id_idx,16 kB,0
public.blue_origin_travelers,blue_origin_travelers_updated_at_idx,16 kB,0
public.social_posts,social_posts_reply_parent_idx,16 kB,0
public.social_posts,social_posts_launch_update_idx,16 kB,0
public.artemis_sam_contract_award_rows,artemis_sam_contract_award_rows_contract_idx,16 kB,0
public.artemis_sam_contract_award_rows,artemis_sam_contract_award_rows_source_document_idx,16 kB,0
public.ll2_docking_events,ll2_docking_events_station_idx,16 kB,0
public.ll2_docking_events,ll2_docking_events_launch_idx,16 kB,0
public.ll2_launchers,ll2_launchers_config_idx,16 kB,0
public.artemis_sam_contract_award_rows,artemis_sam_contract_award_rows_piid_idx,16 kB,0
public.ll2_spacecraft_configurations,ll2_spacecraft_config_name_idx,16 kB,0
public.ll2_spacecraft_configurations,ll2_spacecraft_config_agency_idx,16 kB,0
public.ll2_expeditions,ll2_expeditions_station_idx,16 kB,0
public.ll2_space_stations,ll2_space_stations_name_idx,16 kB,0
public.ll2_pads,ll2_pads_ll2_location_id_idx,16 kB,0
public.launches_public_cache,launches_public_cache_filter_state_idx,8192 bytes,0
public.orbit_elements,orbit_elements_source_epoch_idx,48 MB,14
public.snapi_items,snapi_items_published_at_idx,1384 kB,2
public.ingestion_runs,ingestion_runs_job_started_idx,17 MB,33
public.snapi_items,snapi_items_updated_at_idx,1448 kB,3
public.navcen_bnm_messages,navcen_bnm_messages_fetched_at_idx,352 kB,1
public.artemis_content_items,artemis_content_items_kind_pub_idx,72 kB,1
public.satellites,satellites_object_type_owner_idx,1560 kB,22
public.launches_public_cache,launches_public_cache_pad_country_net_provider_idx,944 kB,26
public.launches,launches_updated_at_idx,136 kB,6
public.faa_launch_matches,faa_launch_matches_record_idx,64 kB,3
public.launch_social_candidates,launch_social_candidates_launch_platform_fetched_idx,40 kB,2
public.ll2_catalog_public_cache,ll2_catalog_public_cache_country_codes_gin,144 kB,8
public.launches,launches_net_idx,344 kB,21
public.faa_notam_details,faa_notam_details_notam_id_idx,16 kB,1
public.providers_public_cache,providers_public_cache_name_idx,16 kB,1
public.launches_public_cache,launches_public_cache_ll2_rocket_config_id_idx,192 kB,14
public.launches_public_cache,launches_public_cache_ll2_pad_id_idx,192 kB,14
public.artemis_procurement_awards,artemis_procurement_awards_scope_awarded_updated_idx,48 kB,4
public.trajectory_source_documents,trajectory_source_documents_url_idx,168 kB,18
public.ll2_catalog_public_cache,ll2_catalog_public_cache_type_idx,144 kB,21
public.launch_trajectory_constraints,launch_trajectory_constraints_launch_idx,40 kB,6
public.artemis_spending_timeseries,artemis_spending_timeseries_contract_idx,88 kB,14
public.blue_origin_traveler_sources,blue_origin_traveler_sources_slug_idx,56 kB,9
public.artemis_procurement_awards,artemis_procurement_awards_program_scope_awarded_idx,88 kB,15
public.faa_tfr_records,faa_tfr_records_status_idx,16 kB,3
public.artemis_contracts,artemis_contracts_piid_ref_idx,120 kB,28
public.artemis_timeline_events,artemis_timeline_events_announced_time_idx,16 kB,4
public.social_posts,social_posts_status_idx,16 kB,4
public.artemis_contract_actions,artemis_contract_actions_contract_idx,88 kB,28
public.ll2_spacecraft_flight_docking_events,ll2_spacecraft_flight_docking_events_docking_idx,40 kB,15
public.artemis_content_items,artemis_content_items_mission_kind_idx,88 kB,42
public.artemis_timeline_events,artemis_timeline_events_mission_time_idx,16 kB,18
public.faa_launch_matches,faa_launch_matches_launch_idx,16 kB,32
